Local Authority,Population,
County Durham UA,"513,242",
Darlington UA,"105,564",
Hartlepool UA,"92,028",
Middlesbrough UA,"138,412",
Northumberland UA,"316,028",
Redcar and Cleveland UA,"135,177",
Stockton-on-Tees UA,"191,610",
Gateshead,"200,214",
Newcastle upon Tyne,"280,177",
North Tyneside,"200,801",
South Tyneside,"148,127",
Sunderland,"275,506",
Blackburn with Darwen UA,"147,489",
Blackpool UA,"142,065",
Cheshire East UA,"370,127",
Cheshire West and Chester UA,"329,608",
Halton UA,"125,746",
Warrington UA,"202,228",
Allerdale,"96,422",
Barrow-in-Furness,"69,087",
Carlisle,"107,524",
Copeland,"70,603",
Eden,"52,564",
South Lakeland,"103,658",
Bolton,"276,786",
Bury,"185,060",
Manchester,"503,127",
Oldham ,"224,897",
Rochdale,"211,699",
Salford,"233,933",
Stockport,"283,275",
Tameside,"219,324",
Trafford,"226,578",
Wigan,"317,849",
Burnley,"87,059",
Chorley,"107,155",
Fylde,"75,757",
Hyndburn,"80,734",
Lancaster,"138,375",
Pendle,"89,452",
Preston,"140,202",
Ribble Valley,"57,132",
Rossendale,"67,982",
South Ribble,"109,057",
West Lancashire,"110,685",
Wyre,"107,749",
Knowsley ,"145,893",
Liverpool,"466,415",
Sefton,"273,790",
St. Helens,"175,308",
Wirral,"319,783",
East Riding of Yorkshire UA,"334,179",
"Kingston upon Hull, City of UA","256,406",
North East Lincolnshire UA,"159,616",
North Lincolnshire UA,"167,446",
York UA,"198,051",
Craven,"55,409",
Hambleton,"89,140",
Harrogate,"157,869",
Richmondshire,"51,965",
Ryedale,"51,751",
Scarborough,"108,793",
Selby,"83,449",
Barnsley,"231,221",
Doncaster,"302,402",
Rotherham ,"257,280",
Sheffield,"552,698",
Bradford,"522,452",
Calderdale,"203,826",
Kirklees ,"422,458",
Leeds,"751,485",
Wakefield,"325,837",
Derby UA,"248,752",
Leicester UA,"329,839",
Nottingham UA,"305,680",
Rutland UA,"37,369",
Amber Valley,"122,309",
Bolsover,"75,866",
Chesterfield,"103,788",
Derbyshire Dales,"71,116",
Erewash,"112,081",
High Peak,"90,892",
North East Derbyshire,"99,023",
South Derbyshire,"94,611",
Blaby,"93,915",
Charnwood,"166,100",
Harborough,"85,382",
Hinckley and Bosworth,"105,078",
Melton,"50,376",
