CSP Name,Criminal damage and arson,Drug offences,Fraud offences,Miscellaneous crimes against society,Possession of weapons offences,Public order offences,Robbery,Sexual offences,Theft offences,Violence against the person,Total
Adur,656,133,81,42,23,81,15,37,1551,485,3104
Allerdale,1307,490,53,106,30,212,5,58,1999,918,5178
Amber Valley,1276,299,81,72,31,113,22,106,3119,1106,6225
Arun,1733,526,161,81,73,308,66,139,4621,1788,9496
Ashfield,1782,349,43,79,41,245,68,92,3802,1371,7872
Ashford,1107,187,112,42,12,104,59,107,3511,992,6233
Aylesbury Vale,1289,443,138,111,34,386,56,155,4236,1306,8154
Barking and Dagenham,2053,1028,678,178,110,680,1030,274,9200,3594,18825
Barnet,2344,1074,1004,288,94,744,1200,297,15765,3471,26281
Barnsley,3129,1250,140,107,81,444,73,140,7836,1719,14919
Barrow-in-Furness,952,188,72,68,37,207,12,61,1455,1022,4074
Basildon,1866,602,195,101,71,259,170,200,7454,2049,12967
Basingstoke and Deane,1732,802,458,112,53,542,83,177,4925,1822,10706
Bassetlaw,1343,244,63,90,38,176,29,64,4363,1049,7459
Bath and North East Somerset,1687,621,207,118,43,814,56,117,4655,1796,10114
Bedford,1783,549,217,130,96,416,149,90,5227,1977,10634
Bexley,1622,937,339,186,71,426,317,169,5787,2314,12168
Birmingham,11953,4582,1334,1024,722,2451,3881,1114,42511,13298,82870
Blaby,718,146,77,55,16,136,28,46,3099,611,4932
Blackburn with Darwen,2351,476,155,98,68,406,110,192,5804,1982,11642
Blackpool,2798,766,216,137,103,359,132,225,8258,3861,16855
Blaenau Gwent,1310,350,22,53,36,179,11,46,2504,688,5199
Bolsover,1025,214,80,51,25,106,16,56,2311,762,4646
Bolton,3701,972,287,243,141,922,255,221,10376,3380,20498
Boston,916,207,69,68,51,194,26,67,2815,726,5139
Bournemouth,2507,632,273,130,83,524,120,219,10009,3202,17699
Bracknell Forest,906,242,102,50,26,183,45,112,3051,1027,5744
Bradford,7071,1628,406,663,178,1284,575,405,25363,4615,42188
Braintree,1073,210,90,47,34,206,29,97,3043,1015,5844
Breckland,1140,279,41,43,42,190,11,126,2292,1043,5207
Brent,2323,4514,1162,319,213,1558,2207,340,13179,5777,31592
Brentwood,577,182,73,24,21,171,31,46,2720,616,4461
Bridgend,1579,535,83,74,27,375,16,120,3912,1300,8021
Brighton and Hove,3385,1254,509,227,135,783,268,333,13186,3587,23667
Bristol,6661,2890,650,860,235,2724,866,578,24383,7615,47462
Broadland,733,119,31,42,8,85,9,75,1507,618,3227
Bromley,2561,1058,609,205,127,835,702,256,11826,3723,21902
Bromsgrove,649,338,156,76,27,123,37,68,2626,845,4945
Broxbourne,912,674,131,75,46,221,90,58,3299,912,6418
Burnley,1558,437,113,83,58,374,31,121,4189,1452,8416
Bury,2316,599,171,91,72,442,206,120,6385,1987,12389
Caerphilly,2163,572,69,129,86,435,29,152,5174,1596,10405
Calderdale,2486,602,148,157,42,379,119,151,8546,1706,14336
Cambridge,1327,629,177,108,43,459,81,122,7177,1432,11555
Camden,2088,2690,760,346,135,1362,1396,373,22333,4316,35799
Cannock Chase,1111,198,123,80,24,225,42,71,2804,1199,5877
Canterbury,1595,329,164,55,31,159,92,106,4523,1448,8502
Cardiff,4998,2075,338,345,155,1621,277,272,18482,3933,32496
Carlisle,1579,477,123,111,51,575,23,123,3084,1333,7479
Carmarthenshire,1297,1448,132,72,33,554,11,120,2496,1176,7339
Castle Point,750,171,96,38,21,74,36,50,1951,680,3867
Central Bedfordshire,2375,593,175,100,75,351,149,98,7038,1948,12902
Ceredigion,590,463,92,26,25,306,6,79,1181,597,3365
Charnwood,1947,286,138,134,47,557,89,119,5120,1795,10232
Chelmsford,1347,385,193,80,58,310,58,144,4774,1645,8994
Cheltenham,1435,427,135,113,34,271,50,106,5837,1157,9565
Cherwell,1263,540,141,161,56,370,33,122,4060,1349,8095
Cheshire East,3701,801,188,199,89,520,98,258,9468,3317,18639
Cheshire West and Chester,3474,1165,243,189,95,708,100,214,9837,2998,19023
Chesterfield,1410,275,131,80,31,239,44,95,3419,1344,7068
Chichester,927,260,118,55,25,160,18,90,3327,885,5865
Chiltern,681,161,66,44,12,156,34,44,2060,533,3791
Chorley,932,300,84,71,32,147,18,88,2782,1208,5662
York,2073,692,220,130,82,397,82,166,7729,2005,13576
Colchester,1758,350,171,83,64,434,93,186,5548,2302,10989
Conwy,1369,298,147,92,28,269,17,104,3091,1440,6855
Copeland,909,239,28,63,25,162,6,56,1068,671,3227
Corby,1052,289,96,55,42,152,60,66,2328,1219,5359
Cornwall,5594,1280,498,262,136,1058,112,548,11307,5249,26044
Cotswold,577,135,61,34,5,57,18,54,1967,455,3363
County Durham,6164,1101,271,380,221,1002,67,339,13511,3911,26967
Coventry,4450,821,355,296,148,685,634,380,13076,3887,24732
Crawley,1310,646,213,231,80,441,72,142,5043,1480,9658
Croydon,3500,2459,948,357,217,840,1835,483,16223,5913,32775
Dacorum,1372,591,187,96,28,250,63,102,4036,958,7683
Darlington,1611,333,108,149,56,346,36,92,4578,1055,8364
Dartford and Gravesham,2499,431,392,131,47,308,138,159,7711,2361,14177
Daventry and South Northamptonshire,1286,260,177,91,33,109,44,88,4080,1333,7501
Denbighshire,1314,292,142,112,54,340,41,138,2809,1539,6781
Derby,3674,923,320,353,144,601,324,320,11051,4235,21945
Derbyshire Dales,412,140,62,31,13,65,7,36,1361,443,2570
Doncaster,4710,997,251,203,122,498,124,193,15200,3292,25590
Dorset,3760,759,366,140,93,478,77,221,9734,2857,18485
Dover,1575,149,92,145,27,131,36,93,2776,1251,6275
Dudley,2947,746,177,170,84,339,394,240,8162,2178,15437
Ealing,3031,2345,1030,370,175,1667,1483,387,16351,5736,32575
East Cambridgeshire,504,278,71,29,16,143,11,45,2100,405,3602
East Hampshire,996,206,130,49,25,241,25,74,2905,817,5468
East Hertfordshire,1111,484,116,62,28,300,37,68,3102,822,6130
East Lindsey,1644,378,95,141,72,290,31,143,4302,1297,8393
East Northamptonshire,1013,132,88,48,9,75,31,48,2082,709,4235
East Riding of Yorkshire,3112,759,304,222,77,879,46,334,7727,2897,16357
East Staffordshire,1056,431,85,89,34,234,43,85,2964,1137,6158
East and Mid Devon,1503,353,239,87,40,329,15,210,3341,1501,7618
Eastbourne,1121,464,118,96,53,285,70,100,3310,1273,6890
