Local Authority,Attractiveness,c_in,c_stay,c_out,Diversity
Aberdeen City,0.5219653179190752,51471,89223,9387,12
Aberdeenshire,0.12752561218776706,12983,57873,43934,18
Adur,0.3990698468233989,9353,6972,16465,29
Allerdale,0.17497320471597,6530,25436,11884,26
Amber Valley,0.4400444264943457,21791,23506,26014,33
Angus,0.14542725119039243,6200,25476,17157,15
Argyll and Bute,0.23580126807340065,7029,24447,5362,6
Arun,0.17026770457565976,8968,25454,27216,9
Ashfield,0.5453968522592655,25782,19362,27910,9
Ashford,0.3339475612192794,15042,27231,17812,23
Aylesbury Vale,0.2801675504908045,19865,35881,35023,5
Babergh,0.35362327662294185,11619,14789,18068,11
Barking and Dagenham,0.4810053085600531,28995,14650,45630,0
Barnet,0.4077322986795896,53174,36031,94383,30
Barnsley,0.19790358309164402,17332,49800,37778,16
Barrow-in-Furness,0.18943600233781413,5186,22590,4786,5
Basildon,0.5282441630681403,36087,32213,36102,21
Basingstoke and Deane,0.3461355189173735,25424,42909,30542,13
Bassetlaw,0.3701995524909813,16214,26770,17028,20
Bath and North East Somerset,0.4335556771626758,29314,43620,23993,9
Bedford,0.3436225882050788,21407,39779,22519,28
Bexley,0.31968563540831774,28718,25876,63956,50
Birmingham,0.4649830707669922,166171,256811,100559,14
Blaby,0.7925241600320465,31655,12068,27874,19
Blackburn with Darwen,0.4653114220379055,24011,31801,19801,35
Blackpool,0.39370234676700666,19880,32638,17857,25
Blaenau Gwent,0.2204446964480985,5443,13001,11690,12
Bolsover,0.5239528124465721,15323,8869,20376,17
Bolton,0.32513407837251324,34010,62464,42139,9
Boston,0.2963299490380437,7501,18205,7108,7
Bournemouth,0.3491845945122795,25223,39184,33050,5
Bracknell Forest,0.5707460418998881,28551,19001,31023,18
Bradford,0.27272973104526205,50428,129611,55290,31
Braintree,0.25940215442921283,15195,26964,31613,24
Breckland,0.2530125403374045,12388,25903,23059,38
Brent,0.4790901322338804,54382,27338,86173,24
Brentwood,0.6145270738124914,17750,8872,20012,21
Bridgend,0.3311259549310914,17251,34247,17851,11
Brighton and Hove,0.290979905685332,31901,72648,36985,37
Bristol,0.46046038074978246,80954,121585,54226,11
Broadland,0.37938935900785914,18875,16872,32879,13
Bromley,0.33639480673250066,40912,41000,80619,50
