Model,Beta,Beta_CI,BIC,P_Value,Param1,Param2,Param3,Param4
lognormal_delta_fixed,0.6763851970114333,0.05771793826745241,6915.784842153296,0.38888439481733256,11.950458866145288,0.6763851970114333,0.25425088208845686,2.0
lognormal,0.6839261320167843,0.06472005076453809,6918.845864117243,0.5966010531978931,11.07345346978007,0.6839261320167843,2.191030100334556,1.7650694559072277
lognormal_beta_fixed,1.0,0.0,7017.883704273516,2.516924405051568e-14,0.47796565218058273,1.0,1.4478064603962773,1.842378710731574
lognormal_delta_fixed_beta_fixed,1.0,0.0,7019.089454565356,3.0521851652733313e-15,0.4982813241926619,1.0,0.361574621870137,2.0
gaussian,0.7041555148678286,0.08954310986363366,7039.607875194514,8.598424369027823e-24,9.019922633580018,0.7041555148678286,6.800868351212038,0.7174095896919886
gaussian_delta_fixed,0.7425117509171612,0.10842111543409791,7052.412921394507,1.9167046348887627e-16,6.0259783562502465,0.7425117509171612,52.20270264829848,0.5
gaussian_beta_fixed,1.0,0.0,7127.9692237778745,1.2722513034359488e-26,0.402505080703603,1.0,32.66201004547118,0.571788677187972
gaussian_delta_fixed_beta_fixed,1.0,0.0,7130.781453841012,2.1243501275754882e-23,0.38509212574734997,1.0,64.66622205615161,0.5
person,0.6985725810036022,0.12201937258090426,95082250.90436172,0.0,0.6985725810036022,,,
person_beta_fixed,1.0,0.0,95488118.07014737,0.0,1.0,,,
