Location,Attractiveness,c_in,c_stay + c_out,Population,Criminal Damage and Arson,Crimes Of Dishonesty,Sexual Offences,Violence,Other,Total
Aberdeen City,0.523192374,51592,98610,222793,3682,9917,540,386,3352,17877
Aberdeenshire,0.127681307,13000,101816,252973,2168,3628,321,158,1238,7513
Adur,0.399155182,9355,23437,61182,656,1632,37,500,279,3104
Allerdale,0.175151385,6537,37322,96422,1307,2052,58,923,838,5178
Amber Valley,0.440193802,21805,49535,122309,1276,3200,106,1128,515,6225
Angus,0.145969652,6224,42639,115978,1173,1721,123,96,752,3865
Argyll and Bute,0.239072825,7127,29811,88166,930,1460,115,104,1212,3821
Arun,0.170336763,8973,52678,149518,1733,4782,139,1854,988,9496
Ashfield,0.545344952,25785,47282,119497,1782,3845,92,1439,714,7872
Ashford,0.334125117,15051,45046,117956,1107,3623,107,1051,345,6233
Aylesbury Vale,0.28025837,19872,70906,174137,1289,4374,155,1362,974,8154
Barking and Dagenham,0.481030507,28997,60281,185911,2053,9878,274,4624,1996,18825
Barnet,0.408028218,53213,130415,356386,2344,16769,297,4671,2200,26281
Barnsley,0.197881109,17333,87593,231221,3129,7976,140,1792,1882,14919
Barrow-in-Furness,0.189415245,5186,27379,69087,952,1527,61,1034,500,4074
Basildon,0.52834497,36096,68319,174497,1866,7649,200,2219,1033,12967
Basingstoke and Deane,0.346298364,25437,73454,167799,1732,5383,177,1905,1509,10706
Bassetlaw,0.370268913,16220,43806,112863,1343,4426,64,1078,548,7459
Bath and North East Somerset,0.433701086,29326,67618,176016,1687,4862,117,1852,1596,10114
Bedford,0.343659711,21410,62300,157479,1783,5444,90,2126,1191,10634
Bexley,0.319771131,28726,89833,231997,1622,6126,169,2631,1620,12168
Birmingham,0.465183685,166272,357433,1073045,11953,43845,1114,17179,8779,82870
Blaby,0.792455192,31657,39948,93915,718,3176,46,639,353,4932
Blackburn with Darwen,0.465324471,24014,51607,147489,2351,5959,192,2092,1048,11642
Blackpool,0.393786385,19887,50502,142065,2798,8474,225,3993,1365,16855
Blaenau Gwent,0.220584663,5448,24698,69814,1310,2526,46,699,618,5199
Bolsover,0.522914178,15324,29305,75866,1025,2391,56,778,396,4646
Bolton,0.32521149,34022,104615,276786,3701,10663,221,3635,2278,20498
Boston,0.29628313,7501,25317,64637,916,2884,67,752,520,5139
Bournemouth,0.349131428,25223,72245,183491,2507,10282,219,3322,1369,17699
Bracknell Forest,0.570914543,28560,50025,113205,906,3153,112,1072,501,5744
Bradford,0.272768569,50439,184915,522452,7071,25769,405,5190,3753,42188
Braintree,0.260161491,15240,58579,147084,1073,3133,97,1044,497,5844
Breckland,0.253002206,12388,48964,130491,1140,2333,126,1054,554,5207
Brent,0.479119872,54394,113529,311215,2323,14341,340,7984,6604,31592
Brentwood,0.614553763,17752,28886,73601,577,2793,46,647,398,4461
Bridgend,0.331164719,17256,52107,139178,1579,3995,120,1316,1011,8021
Brighton and Hove,0.291086364,31915,109641,273369,3385,13695,333,3855,2399,23667
Bristol,0.460585586,80982,175824,428234,6661,25033,578,8481,6709,47462
Broadland,0.379371332,18876,49756,124646,733,1538,75,627,254,3227
Bromley,0.336463198,40922,121624,309392,2561,12435,256,4425,2225,21902
